,x [nm],y [nm],n_match,C1_id,C2_id,C3_id,C4_id,C1_posX,C1_posY,C2_posX,C2_posY,C3_posX,C3_posY,C4_posX,C4_posY,C1_sigma,C2_sigma,C3_sigma,C4_sigma,C1_int,C2_int,C3_int,C4_int
662,20298.37374149834,113832.47430428327,2,,1371,,678,,,20330.501644911496,113812.05687339896,,,20266.245838085182,113852.89173516756,,124.42788985006555,,204.90662514327656,,23055.53105510697,,11885.006743200214
663,72620.39886432615,54198.51554554049,2,1410,,7243,,72645.55239590448,54216.30111049678,,,72595.24533274781,54180.7299805842,,,197.88660572521283,,122.33047833588738,,69277.45814166343,,35118.98576469164,
664,15294.325980401038,74801.89521424017,2,,1017,1283,,,,15246.00895861924,74790.06414397093,15342.643002182836,74813.72628450941,,,,151.63792303690133,110.62859943706646,,,54352.91789172908,60238.043157388885,
665,70145.71169435092,19402.899694414176,2,1372,,6993,,70147.53982042367,19385.97810472624,,,70143.88356827816,19419.82128410211,,,103.12181164495064,,113.24245882827483,,4166.103235186803,,75781.51269596847,
666,70046.9721440696,101883.13966008168,2,1370,5130,,,70091.86618693765,101838.11210216956,70002.07810120155,101928.1672179938,,,,,331.24634745208573,175.8117546012182,,,330778.50731085625,65103.55468212124,,
667,80800.95107156338,109560.01524000597,2,1558,,,4466,80807.94406861346,109574.59301514906,,,,,80793.95807451328,109545.43746486287,7.354747996501182,,,0.5762790003371465,990.0799294817608,,,553.0426532573692
668,38777.909055613185,44456.69105925973,2,,,3606,1597,,,,,38786.21156580474,44483.33177022055,38769.60654542162,44430.05034829889,,,112.02606506849352,131.65039262029254,,,77165.94441583083,4276.50111008169
669,68483.69747250206,56039.77720571573,2,1339,5011,,,68537.58611750804,55989.74600041478,68429.80882749608,56089.80841101668,,,,,65.13804742761775,90.74975154995744,,,1731.7675462626537,49132.83751057649,,
670,115723.71209988417,16008.903289120342,2,,,11053,6957,,,,,115727.47218344203,16009.436180445067,115719.9520163263,16008.370397795616,,,110.42829812587786,105.80317929845268,,,50197.366250046536,7708.486627665319
671,68402.72990522099,123494.0088169032,2,1337,,,3562,68400.89125633692,123488.26188181424,,,,,68404.56855410505,123499.75575199215,26.065402179052946,,,0.0696975064384211,1300.9231080396912,,,569.9676697652471
672,104042.89676948794,59217.95771487756,2,,7424,10178,,,,103977.1744653597,59228.05946063741,104108.6190736162,59207.855969117714,,,,108.50160012590896,127.04015213996146,,,30592.90865855597,80791.05915873505,
673,59650.695902267486,40562.0627051211,2,,4344,,2927,,,59690.319740552746,40563.01588912952,,,59611.07206398222,40561.109521112674,,89.55978330245959,,135.2985556223902,,53903.44136558015,,3969.9769859208423
674,118792.40180927125,45647.38035213854,2,2016,,11258,,118755.270355781,45646.37538122687,,,118829.53326276151,45648.385323050206,,,167.3404705989311,,148.25748248975853,,30999.0123103938,,65433.28547362241,
675,68208.96346705311,93026.85733288278,2,1333,,6807,,68139.77442605501,92998.58242413016,,,68278.1525080512,93055.1322416354,,,225.6897483186357,,106.96712340203784,,79207.67004500744,,11491.06894773591,
676,59628.422969164225,98198.1425059873,2,,4342,,2938,,,59586.79005905611,98144.41754925896,,,59670.05587927234,98251.86746271564,,110.7616189674565,,104.17313035057416,,11919.21811617794,,1979.8368185067677
677,38894.63933580489,47132.124514524854,2,,,3615,1617,,,,,38843.852026098175,47169.0641190747,38945.4266455116,47095.184909975,,,106.21427036571258,228.21540475786855,,,84553.2385551915,23016.097559338497
678,66769.467653693,109672.02401875009,2,,4890,6646,,,,66813.6910885891,109621.96488298128,66725.24421879691,109722.08315451891,,,,131.88777090087694,174.71932321395292,,,34153.817380012035,34031.7502673026,
679,52412.96356791351,6370.750524333447,2,,3773,5099,,,,52420.03042962708,6338.624908570312,52405.89670619994,6402.876140096582,,,,103.27495189717968,110.81611039310388,,,11131.039407318598,15120.603142963277,
680,95933.70884613603,71533.027909519,2,,,9453,5556,,,,,95915.32463748296,71480.81669389457,95952.09305478907,71585.23912514345,,,103.40302587116336,127.51171179793192,,,27914.925332953106,23076.756105187404
681,90040.97808994203,4207.143030636107,2,,6555,8966,,,,89995.50317820765,4213.806214332865,90086.4530016764,4200.479846939349,,,,111.96297228926753,103.21063995532631,,,38694.887814794376,42612.15476285418,
682,42171.24626202805,102990.57285943476,2,,3003,,1819,,,42193.05443888334,103031.25218546463,,,42149.43808517276,102949.89353340487,,113.02954501893925,,111.857725450293,,37957.25818000421,,7401.293037856662
683,59608.949977254204,71505.77778321161,2,,4340,,2931,,,59618.01962073005,71553.94454963568,,,59599.880333778354,71457.61101678756,,114.6520900509016,,164.078817986274,,55883.78180468112,,35774.855129881886
684,67634.74128980997,69873.07488583805,2,1321,,,3508,67695.8941833537,69904.43767382199,,,,,67573.58839626625,69841.7120978541,122.71221988182673,,,106.38006414385728,19261.184029671836,,,6275.349335460947
685,42173.328903506146,81898.92529535056,2,,2999,3957,,,,42117.457709828894,81927.47172990123,42229.20009718339,81870.3788607999,,,,115.8286036706461,99.51164292707584,,,48660.18703664253,38416.57281077494,
686,115953.97287310833,52515.696922868534,2,,,11066,6987,,,,,115936.6918961193,52571.79034222452,115971.25385009736,52459.60350351255,,,112.49045549612272,105.94231897700152,,,45078.22356276571,10522.331957032027
687,42170.570711485925,29968.162179380743,2,,2998,,1817,,,42163.08570276901,29948.768631371488,,,42178.05572020284,29987.55572739,,23.480052051000037,,2.9679195599286885,,1216.7846045476972,,788.765936593149
688,123189.79960704657,23261.797283637796,2,,8305,,7453,,,123253.7941464878,23298.935523792454,,,123125.80506760535,23224.659043483138,,111.81950775514804,,107.51013065697713,,10591.620582736548,,4212.217609032212
689,47407.15224007488,53676.73348769723,2,,3376,,2146,,,47375.54659495139,53693.67983407885,,,47438.75788519836,53659.7871413156,,95.82293890452394,,141.93781329453702,,22413.15569135022,,7399.132315862576
690,104015.862768111,26638.253652080577,2,,7423,10167,,,,103999.01463673307,26671.334414950423,104032.71089948891,26605.17288921073,,,,125.33081929990662,104.52192740245144,,,7931.209099110216,58535.70493602263,
691,123390.68305853804,44487.84723480697,2,,8309,11563,,,,123375.72233476338,44463.43470402554,123405.64378231268,44512.2597655884,,,,131.79237900670202,145.91423461994668,,,12506.408421515784,30675.10988562545,
692,20724.00245912953,47452.627300340406,2,,1395,1798,,,,20737.47872596324,47506.99177959267,20710.526192295816,47398.26282108815,,,,273.43495216545494,104.52115593103262,,,82018.94855095368,19697.045190579614,
