,x [nm],y [nm],n_match,C1_id,C2_id,C3_id,C4_id,C1_posX,C2_posX,C3_posX,C4_posX,C1_posY,C2_posY,C3_posY,C4_posY,C1_sigma,C2_sigma,C3_sigma,C4_sigma,C1_int,C2_int,C3_int,C4_int,C1_int_sig,C2_int_sig,C3_int_sig,C4_int_sig
9641,18000.35128490525,304.08877100533863,1,,,1101,,,,18000.35128490525,,,,304.08877100533863,,0.0,0.0,195.73321495408268,0.0,104.5663773255224,116.09011184074858,92573.39964193484,55.75037519408884,,,2.4163350517415716,
9642,18057.309595289957,37778.763852228585,1,,,1102,,,,18057.309595289957,,,,37778.763852228585,,0.0,0.0,104.82755553692678,0.0,104.5663773255224,116.09011184074858,97774.209741444,55.75037519408884,,,8.897610641925109,
9643,18037.483748350136,55807.29722368014,1,,,1103,,,,18037.483748350136,,,,55807.29722368014,,0.0,0.0,101.78447036723051,0.0,104.5663773255224,116.09011184074858,63905.00337221362,55.75037519408884,,,6.168389934505829,
9644,17723.269912002008,124684.35229893126,1,,,1075,,,,17723.269912002008,,,,124684.35229893126,,0.0,0.0,148.82243932969945,0.0,104.5663773255224,116.09011184074858,53296.23526788337,55.75037519408884,,,2.406354986447837,
9645,17636.30788632458,102604.42629793542,1,,,1074,,,,17636.30788632458,,,,102604.42629793542,,0.0,0.0,110.21185972312284,0.0,104.5663773255224,116.09011184074858,21934.567308136448,55.75037519408884,,,1.8058114823610167,
9646,17654.74567493892,96136.88891390574,1,,,1073,,,,17654.74567493892,,,,96136.88891390574,,0.0,0.0,107.51007570609544,0.0,104.5663773255224,116.09011184074858,47846.379973150215,55.75037519408884,,,4.139527285316718,
9647,17636.291312005807,83607.43595012804,1,,,1071,,,,17636.291312005807,,,,83607.43595012804,,0.0,0.0,106.1930872805757,0.0,104.5663773255224,116.09011184074858,36562.59000849231,55.75037519408884,,,3.242234768495218,
9648,17247.293633606103,109519.02087476684,1,,,1043,,,,17247.293633606103,,,,109519.02087476684,,0.0,0.0,127.0538546499862,0.0,104.5663773255224,116.09011184074858,37309.06221234768,55.75037519408884,,,2.31120592323446,
9649,17276.714552207748,130316.29552921795,1,,,1044,,,,17276.714552207748,,,,130316.29552921795,,0.0,0.0,107.96692588409763,0.0,104.5663773255224,116.09011184074858,17936.03388920412,55.75037519408884,,,1.538668078250365,
9650,17244.520045565878,131295.55871379544,1,,,1045,,,,17244.520045565878,,,,131295.55871379544,,0.0,0.0,110.84057768651873,0.0,104.5663773255224,116.09011184074858,54473.82523121837,55.75037519408884,,,4.433945104535801,
9651,17292.731307842343,44302.022836576725,1,,,1048,,,,17292.731307842343,,,,44302.022836576725,,0.0,0.0,102.04179218757672,0.0,104.5663773255224,116.09011184074858,10836.510830599427,55.75037519408884,,,1.0407185943795556,
