id,frame,x [nm],y [nm],sigma [nm],intensity [photon],log10(intensity),offset [photon],bkgstd [photon],chi2,uncertainty [nm]
29460,1,116691.7963,20726.43728,127.254,55023.88847,4.741,1076.203811,180.3261149,223.6618207,4.161131075
29461,1,116762.4814,32030.88598,159.802,57768.96758,4.762,681.8233836,196.4851307,366.4015438,6.78397393
29462,1,116692.2548,36058.46288,134.967,50702.83787,4.705,853.7595341,153.0977485,186.6985684,4.317750537
29463,1,116708.5306,49813.58096,139.233,39361.09075,4.595,1262.644053,256.2241934,476.2917597,9.83397698
29464,1,116745.7718,50498.79855,119.585,46521.53259,4.668,1550.056767,314.0597623,587.7113347,7.524615478
29465,1,116689.5935,52194.52365,121.058,81846.67419,4.913,948.0190804,223.0111996,344.9495406,3.133050813
29466,1,116731.6486,53121.19423,123.442,128401.1055,5.109,1055.922321,233.0426958,241.3657017,2.177617609
29467,1,116744.7137,54689.88234,143.380,141717.774,5.151,850.3282336,316.4406761,415.64181,3.588431937
29468,1,116714.3961,59949.41674,125.201,79322.21212,4.899,1637.753113,430.2491365,957.9391609,6.623715738
29469,1,116739.3422,70974.1785,122.692,55492.8315,4.744,839.1780703,169.7407867,247.0707012,3.617392867
29470,1,116683.615,72437.96044,145.536,68946.31744,4.839,710.6781753,205.3063826,321.9460449,4.933976364
29471,1,116680.3701,86183.47178,116.067,38143.98471,4.581,753.5188238,251.4725574,671.6550694,6.929202274
29472,1,116692.6376,88762.1392,112.563,109006.2939,5.037,1523.898826,289.6996852,328.4842203,2.639995266
29473,1,116696.5942,100694.9505,113.608,64361.30278,4.809,760.1542996,185.1848437,265.4830536,2.921890428
29474,1,116716.6914,102207.1689,113.199,78770.97922,4.896,963.5408803,173.8423105,198.3898198,2.235719177
29475,1,116776.3311,104115.0525,175.590,74219.3461,4.871,457.0533309,236.0409445,506.2384394,7.648835619
29476,1,116799.0561,111489.9482,117.204,36897.52883,4.567,944.0268719,242.6425341,438.6322087,7.048397343
29477,1,116726.351,112547.859,115.358,38400.75525,4.584,965.1087096,366.3393844,897.1100612,9.885309352
29478,1,116714.976,126592.6244,109.246,32733.539,4.515,784.5541586,120.4394672,131.9156221,3.467588317
29479,1,116637.8348,128616.337,230.402,210549.3645,5.323,1.25E-13,230.1488644,371.2851508,4.538160028
29480,1,116741.5637,23806.86398,331.761,518015.9199,5.714,1.62E-08,324.0302525,558.1376495,5.371110673
29481,1,116791.1398,31508.59372,133.074,25668.4679,4.409,647.4164954,113.3639959,163.3023423,6.136411247
29482,1,116752.1351,34483.9803,119.672,58955.88569,4.771,944.8040715,144.373846,173.0628957,2.771130129
29483,1,116763.1582,37413.00986,124.421,41236.35963,4.615,1004.905103,151.5129021,189.4149856,4.464150393
29484,1,116757.0716,39968.31562,82.171,14314.45651,4.156,1641.776892,229.7891814,371.7827596,8.454125716
29485,1,116707.5918,41607.39495,164.836,125644.0274,5.099,984.7106062,172.4288237,140.8770482,2.93577105
29486,1,116802.6438,45162.79668,157.265,49354.27257,4.693,1044.381347,183.1932719,269.0517718,7.170738316
29487,1,116766.8033,74698.70373,117.452,47099.38535,4.673,893.1296529,139.745959,170.2290218,3.228145781
29488,1,116764.8013,77284.56944,113.832,87382.34476,4.941,964.2377253,149.4258267,138.4949758,1.765879722
